"","id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
"13855",23854,4,1,6,35,1,6,1,3,725,60,35,1365,0,490,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1,"ON","Single, never married","Bachelor's degree",1
"13856",23855,6,1,2,10,2,2,6,5,465,60,165,705,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"NL","Living common-law","High school diploma or equivalency",0
"13857",23856,5,2,1,46,1,5,2,6,435,0,55,50,50,510,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"MB","Married","University certificate or dimploma below the bachelor's level",1
"13858",23857,7,1,3,48,1,1,6,6,390,120,120,930,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"AB","Widowed","Less than high school dimploma or its equivalent",0
"13859",23858,5,2,5,35,1,5,2,2,540,180,0,1090,0,0,0,0,0,NA,2,1,1,2,NA,8,2,1,2,2,"ON","Divorced","University certificate or dimploma below the bachelor's level",1
"13860",23859,7,2,3,12,2,1,6,1,530,50,60,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,2,"NS","Widowed","Less than high school dimploma or its equivalent",0
"13861",23860,3,1,4,47,1,2,1,5,480,0,30,870,120,420,0,0,0,NA,NA,NA,1,1,NA,4,2,1,2,1,"SK","Separated","High school diploma or equivalency",1
"13862",23861,6,2,6,11,3,3,6,1,630,60,30,1320,25,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"PEI","Single, never married","Trade certificate or diploma",0
"13863",23862,3,2,6,13,1,4,1,4,330,20,130,385,70,450,0,0,0,NA,NA,NA,1,1,NA,5,2,2,2,2,"NB","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
"13864",23863,1,2,6,35,1,4,2,6,360,90,0,270,0,0,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,1,"ON","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
"13865",23864,4,2,1,47,1,7,2,6,510,150,65,220,60,0,0,0,10,NA,NA,NA,1,1,NA,3,2,2,1,1,"SK","Married","University certificate, diploma, degree above the BA level",1
"13866",23865,5,2,5,24,1,5,1,6,405,190,0,1140,90,660,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2,"QC","Divorced","University certificate or dimploma below the bachelor's level",1
"13867",23866,6,2,3,35,2,3,4,6,480,0,120,1010,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"ON","Widowed","Trade certificate or diploma",0
"13868",23867,3,1,1,35,2,6,1,6,380,0,0,810,210,495,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"ON","Married","Bachelor's degree",1
"13869",23868,3,1,5,13,1,6,4,2,210,60,55,735,65,0,0,0,0,NA,NA,NA,1,1,NA,5,2,2,2,2,"NB","Divorced","Bachelor's degree",0
"13870",23869,2,1,6,24,1,6,2,3,480,0,0,725,100,480,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"QC","Single, never married","Bachelor's degree",1
