PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
17162,2,2,6,35,1,6.0,3.0,2.0,590,50,45,1155,170,0,0,0,0,,,1.0,1,2,,3.0,1.0,2.0,2.0,1.0
17163,2,2,6,24,1,4.0,2.0,4.0,515,0,90,285,0,245,0,0,0,,,,1,1,,5.0,2.0,2.0,1.0,2.0
17164,4,1,1,48,1,7.0,2.0,5.0,470,30,15,475,145,120,0,0,45,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17165,6,1,5,13,2,1.0,2.0,1.0,660,30,65,1440,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,1.0
17166,4,1,6,12,1,,1.0,4.0,650,15,105,1125,15,0,0,0,0,,,,1,1,,1.0,1.0,1.0,1.0,2.0
17167,2,1,1,24,1,6.0,2.0,5.0,440,0,40,150,70,485,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,1.0
17168,6,1,5,59,1,1.0,6.0,1.0,600,0,150,1360,50,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
17169,1,2,6,48,1,6.0,1.0,5.0,425,0,0,335,75,195,255,0,260,1.0,1.0,1.0,1,2,1.0,4.0,2.0,1.0,1.0,2.0
17170,4,2,1,35,1,4.0,1.0,2.0,460,10,30,245,0,435,0,0,0,,,,1,1,,2.0,2.0,2.0,1.0,1.0
17171,3,2,1,59,1,4.0,2.0,3.0,600,0,45,10,70,0,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17172,4,1,1,59,1,4.0,2.0,2.0,750,60,40,120,0,0,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
